Robert,Radloff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct 11 2021,2:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time(min),Line TC Setpoint(C),Line TC(C),Line Heater(%),Vaporizer TC(C),Vaporizer HeaterTC(C),Vaporizer Heater(%),Vaporizer Scale(lb),Vaporization(lb/h),Powder Feed Setpoint(g/h),Powder Scale(g),Powder Rate(g/h),Chamber TC Setpoint(C),Chamber TC1(C),Chamber TC2(C),Chamber Heater(%),MFC#0,MFC#1,MFC#2,MFC#3,ArMFC#1,ArMFC#2,ArMFC#3,XFMR Status,Vaccum Pump Outlet TC(C),Vaccum Pump Intlet TC(C),Inlet Valve Open,Inlet Valve Closed,Outlet Valve Open,Outlet Valve Closed,MKS Press/Pos,MKS Set Point,MKS Pressure(Torr),MKS Position(degrees),Injector TC(C),HG-412,HG-414,HG-416,PG-412,PG-414,PG-416,HG-418,MTS-414,HG-419,MH-481,MTS-420,Vibrator,Vibrator2,Bell Jar Press(Torr),Exhaust Press(Torr),Run-Time(min),Sub Run-Time(min)
11,-17.778,-17.778,0,22.462,20.789,0,252.3,-0.532,0,9990000,0,13.33,13.367,14.362,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,6.544,97.895,6.005,0,0,0,0,0,0,0,1,0,0,0,0,0,85.88,756.837,0,0
12,-17.778,-17.778,0,22.466,20.794,0,252.3,-0.645,0,9990000,0,13.386,13.432,14.044,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,7.027,77.843,6.481,0,0,0,0,0,0,0,1,0,0,0,0,0,70.238,756.934,0,0
13,-17.778,-17.778,0,22.474,20.827,0,252.3,0,0,9990000,0,13.379,13.377,13.887,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,7.641,52.996,7.096,0,0,0,0,0,0,0,1,0,0,0,0,0,54.711,757.051,0,0
14,-17.778,-17.778,0,22.458,20.801,0,252.3,0.461,0,9990000,0,13.328,13.424,13.962,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,8.365,33.004,7.83,0,0,0,0,0,0,0,1,0,0,0,0,0,40.593,756.884,0,0
15,-17.778,-17.778,0,22.515,20.857,0,252.2,0.778,0,9990000,0,13.878,13.979,14.354,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,8.396,37.391,0,0,0,0,0,0,0,1,0,0,0,0,0,28.614,757.384,0,0
16,-17.778,-17.778,0,22.515,20.841,0,252.3,0.927,0,9990000,0,13.693,13.661,14.377,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,3.633,89.581,0,0,0,0,0,0,0,1,0,0,0,0,0,19.681,757.334,0,0
17,-17.778,-17.778,0,22.505,20.856,0,252.3,-0.998,0,9990000,0,13.837,13.867,14.414,0,0,0,0,9.296,4.771,19.118,0,1,0,0,0,1,0,1,0,1,0,30.483,0,0,0,0,0,1,1,1,1,0,0,0,0,0,44.804,757.5,0,0
18,-17.778,-17.778,0,22.522,20.859,0,252.3,-0.932,0,9990000,0,13.877,13.809,14.353,0,0,0,0,9.185,2.821,18.681,0,1,0,0,0,1,0,1,0,1,0,70.357,0,0,0,0,0,1,1,1,1,0,0,0,0,0,72.194,757.541,0,0
19,-17.778,-17.778,0,22.478,20.788,0,252.3,0.195,0,9990000,0,13.404,13.218,13.846,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,6.547,97.759,6.028,0,0,0,0,0,0,0,1,0,0,0,0,0,86.245,756.896,0,0
20,-17.778,-17.778,0,22.485,20.902,0,252.3,-0.42,0,9990000,0,13.405,13.353,13.837,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,7.26,70.773,6.741,0,0,0,0,0,0,0,1,0,0,0,0,0,67.695,757.11,0,0
21,-17.778,-17.778,0,22.483,20.802,0,252.3,0,0,9990000,0,13.403,13.429,13.848,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,7.518,49.507,6.979,0,0,0,0,0,0,0,1,0,0,0,0,0,51.902,756.869,0,0
22,-17.778,-17.778,0,22.449,20.767,0,252.3,0,0,9990000,0,13.396,13.415,13.893,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,8.678,28.14,8.127,0,0,0,0,0,0,0,1,0,0,0,0,0,38.228,756.727,0,0
23,-17.778,-17.778,0,22.526,20.851,0,252.3,0,0,9990000,0,13.507,13.715,14.376,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,5.61,51.738,0,0,0,0,0,0,0,1,0,0,0,0,0,26.649,757.014,0,0
24,-17.778,-17.778,0,22.491,20.943,0,252.3,0,0,9990000,0,13.942,13.831,14.398,0,0,0,0,10.185,5.707,20.595,0,1,0,0,0,1,0,1,0,1,0,5.893,0,0,0,0,0,1,1,1,1,0,0,0,0,0,21.428,757.479,0,0
25,-17.778,-17.778,0,22.516,20.824,0,252.3,0.2,0,9990000,0,13.96,13.799,14.05,0,0,0,0,10.124,7.993,20.387,0,1,0,0,0,1,0,1,0,1,0,42.371,0,0,0,0,0,1,1,1,1,0,0,0,0,0,54.45,757.281,0,0
